student_index,risk_probability,actual_at_risk,shap_age,shap_Medu,shap_Fedu,shap_traveltime,shap_studytime,shap_failures,shap_schoolsup,shap_famsup,shap_paid,shap_activities,shap_nursery,shap_higher,shap_internet,shap_romantic,shap_famrel,shap_freetime,shap_goout,shap_Dalc,shap_Walc,shap_health,shap_absences,shap_G1,shap_support_index,shap_risk_behavior,shap_engagement,shap_school_MS,shap_sex_M,shap_address_U,shap_famsize_LE3,shap_Pstatus_T,shap_Mjob_health,shap_Mjob_other,shap_Mjob_services,shap_Mjob_teacher,shap_Fjob_health,shap_Fjob_other,shap_Fjob_services,shap_Fjob_teacher,shap_reason_home,shap_reason_other,shap_reason_reputation,shap_guardian_mother,shap_guardian_other
10,0.13442653,0,-0.024968209,-0.0087570585,0.008309018,-0.004071525,0.0024090214,-0.07766867,-0.014294828,0.005450409,-0.0018884205,0.0082470765,0.0015960138,0.0,-0.011720169,0.045436125,0.048735693,0.048430853,-0.043958448,-0.0022555904,0.010603251,0.0019526841,-0.08705398,-1.7237232,-0.009965802,-0.007601115,-0.0028965943,-0.0008893729,-0.0033614114,-0.015590026,-0.00040446408,0.0012735508,-0.0011233636,-0.00024546531,0.005162822,-0.0035540909,0.0,0.012352686,0.010262857,-0.023005864,-0.010253202,0.0005438702,0.00012230354,0.0007523382,-0.0020402533
11,0.13512929,0,-0.013926367,-0.018596657,-0.019082597,-0.0012566757,0.0035469441,-0.0778386,-0.019593742,0.0025848665,0.0002736526,0.0079171015,0.0016985033,0.0,-0.012536926,0.019574225,0.030642299,-0.012160142,0.034190215,-0.0015617389,0.00869224,-0.045906324,0.06801908,-1.7941641,-0.009088751,0.015169954,-0.0029287792,0.00022536918,-0.00055514893,-0.0064862794,-0.0122688515,0.0023089962,0.00010517466,-0.00024546531,0.005962964,-0.005159729,0.0,0.011383329,-0.0020186517,-0.023005864,0.0025477936,0.0006904054,0.0003268673,0.0007523382,-0.0018551124
12,0.13850783,0,-0.04596108,-0.021548,0.009169154,-0.0023983,0.0035481544,-0.07164735,-0.011935403,-0.011319064,-0.0018884205,-0.008575108,0.0016985033,0.0,-0.012595436,0.056484293,0.010129654,0.047365427,0.011834854,-0.002705408,0.00869224,0.0042330055,0.062150374,-1.7852988,-0.013604063,-0.041624628,0.00068286946,-0.0008893729,-0.00030341803,-0.009862547,-4.8855698e-05,0.0014046772,-0.0011233636,-0.00024546531,0.005162822,-0.005159729,0.0,0.011383329,0.013246509,-0.023005864,-0.0073844735,0.0006535503,0.0003268673,-0.002017106,-0.0020402533
13,0.1802113,1,-0.020377537,-0.024284638,-0.012394974,-0.004005962,0.003842639,-0.07110226,-0.026432553,0.005450409,0.0012092558,0.0082470765,0.0026236821,0.0,-0.044540804,0.057731744,0.013174973,-0.016817687,0.016088694,-0.0024942884,0.008331264,-0.0074250796,0.029986368,-1.334062,-0.0092967,-0.054418992,0.030216329,-0.0008893729,-0.00049837696,-0.02246422,0.0011874445,0.0014046772,0.00010517466,-0.00024546531,-0.01997854,-0.0063823313,0.0,0.012498904,-0.0045228703,-0.033870097,0.0017787112,0.00061669474,0.0003268673,0.002077568,-0.002586606
14,0.120893285,0,0.07567576,-0.012912989,0.006518609,-0.0016202137,-0.009601596,-0.076286614,-0.023750367,-0.0070879036,-6.646209e-06,0.005037086,0.0016985033,0.0,0.058852628,-0.03098151,-0.068957135,-0.025194231,0.010241214,-0.0054296902,0.0058379225,-0.0022205887,0.07890645,-1.8150842,-0.008982818,-0.0587883,-0.018090485,-0.0008893729,-0.0017963353,-0.009036415,0.000726162,-0.016637465,0.00010517466,-0.00024546531,-0.01887281,-0.0017819853,0.0,-0.011217066,-0.0052479426,-0.02097256,0.0014671241,0.00061669474,0.00091274607,-0.002017106,0.015839526
15,0.16368471,0,-0.0586669,0.003811105,-0.007756644,-0.0006069387,-0.007557532,0.22420475,-0.019345853,-0.014509844,0.0018481911,0.0050041545,0.0025621909,0.0,0.05134263,0.020798843,0.011222583,-0.0051982254,0.025960067,0.0062912884,-0.016564753,-0.0026315283,-0.10543816,-1.64104,-0.012069644,-0.0014282092,-0.015048531,-0.000709526,0.0039809723,-0.012384922,-0.018008776,0.0027532158,6.356338e-05,-0.0004945137,0.0035656763,-0.0024138847,0.0,-0.016468287,-0.008770066,-0.038422782,0.0037518064,0.0014917151,0.00019848702,0.00068106217,-0.002336737
16,0.25820315,0,-0.0153133795,0.02212085,0.001886666,-0.0012649517,0.0046509504,-0.06662929,0.40680033,-0.011106433,0.0013026806,-0.006396534,-0.01294711,0.0,-0.04441878,-0.0269344,-0.09020255,-0.011313839,-0.0701106,-0.0024770852,-0.005436317,-0.033738215,-0.13020794,-0.92081875,-0.011561191,-0.038407054,0.00567268,-0.0008893729,0.06735881,-0.02270098,0.0003873245,0.0013757081,0.00010517466,0.00019890038,0.004348223,-0.0029628042,0.0,-0.012923924,-0.0029923264,-0.030219486,-0.00707318,0.0005438702,0.00019848702,0.002077568,-0.002586606
17,0.5956668,0,-0.07200137,-0.004021368,0.0035957438,-0.0020794878,0.004357107,-0.074923925,-0.004024971,0.0074744984,-0.0007630375,0.014197595,0.004480443,0.0,-0.0044761384,-0.023655249,0.029013166,-0.001959268,0.03223905,0.0016745889,0.00033628131,0.008409433,-0.16583428,0.6757699,-0.008575883,0.019940784,-0.011377666,-0.00022695788,0.0008913744,-0.0063208714,-0.006818595,0.0023094197,0.00010517466,-0.00024546531,0.0052420422,0.010334279,0.0,-0.03194731,-0.0016120938,-0.00734326,-0.008987145,0.0016976447,0.00012230354,0.0007523382,-0.0055823703
18,0.30508175,0,-0.050328836,-0.013369954,0.0047333483,0.0060323146,-0.03295009,-0.059965517,0.40394378,0.007065551,-0.0037071062,0.0079171015,-0.013387713,0.0,-0.04296875,-0.030298568,0.051107436,-0.008665238,0.008448159,-0.0029339888,0.0054338523,-0.031435315,-0.108057216,-0.9725988,0.08416197,-0.05884112,-0.014991647,-0.0008893729,0.06735881,0.037639834,-0.00027099822,0.0011868004,0.00010517466,-0.00024546531,-0.019226393,-0.004776693,0.0,-0.013424898,-0.0029923264,-0.030219486,0.0016480602,0.00061669474,-0.00074231264,0.002077568,-0.0026788604
19,0.12711531,0,-0.03571959,-0.0053768875,-0.0033871706,0.012001477,0.0018937426,-0.07210032,-0.026781728,0.005450409,-0.00036864734,-0.009095841,0.0015960138,0.0,-0.010650527,-0.030122112,0.0037669465,-0.0116588725,-0.07335205,-0.0024641166,0.005220987,0.0008356859,0.04143307,-1.6887367,-0.008193735,-0.037080094,0.060580216,-0.0008893729,-0.0015990573,-0.008140318,-0.0002917709,0.0013757081,0.00010517466,0.0004113672,0.0043582367,-0.0034798284,0.0,-0.010205426,-0.003997256,-0.022542462,0.0022362063,0.00058072526,-0.005539847,-0.002017106,-0.0020402533
20,0.8000132,1,-0.060233667,-0.0077245166,0.0056748795,-0.0017590001,-0.012008986,-0.07265476,0.02725424,-0.011793925,-0.0002603596,0.0065745283,-0.011177614,0.0,-0.0039992123,-0.016058514,-0.07424603,0.0002889466,0.091058105,-0.0014530853,0.006298169,0.013942629,0.10929545,1.4713091,-0.0102874935,0.022855802,-0.01306772,-0.00022695788,-0.004350717,-0.0050838697,-0.066064045,0.0036568274,0.00010517466,-0.00024546531,0.0060421843,0.008261747,0.0,-0.018301524,-0.0016615381,-0.00734326,0.0049168784,0.0017389823,0.0003268673,0.0018392205,-0.002336737
21,0.112792216,0,-0.042273324,0.004132178,-0.0067502926,-0.0007043962,-0.012194606,-0.08786945,-0.020056143,-0.009277673,5.5174052e-05,-0.008575108,0.0016985033,0.0,-0.012536926,-0.01031953,0.043170705,-0.012650273,0.02227709,0.00043640018,-0.0014625638,-0.031158367,-0.107947186,-1.7352674,-0.013980982,0.013527567,-0.017758628,-0.00022695788,-0.003450883,-0.006212191,-0.007848878,0.00273625,0.00010517466,-0.0004945137,0.005962964,-0.0032608309,0.0,0.011574203,-0.0020002325,-0.023005864,0.0024171425,0.0007678848,0.00019848702,0.0007523382,-0.002336737
22,0.6523757,0,-0.06475538,-0.0012011931,0.004631295,0.00023330723,-0.015677972,-0.06743429,-0.003313876,0.0053822654,-0.00044591754,0.014197595,0.005033685,0.0,-0.004111943,-0.01554459,0.053228483,-0.0030349768,0.040312648,-3.4389028e-05,-0.04403761,0.010733208,-0.0057385587,0.7436731,-0.0065258853,0.010681886,-0.012141417,-0.00022695788,0.0008913744,0.009292442,0.0039158547,0.0034472109,0.00010517466,-0.00024546531,0.0052420422,0.009960596,0.0,-0.030699749,-0.0018551678,-0.00734326,-0.008987145,0.002052403,0.00019848702,-0.002017106,-0.0056172777
23,0.6579431,1,0.095625006,0.0027619475,0.008444747,0.0009858517,0.0057823397,-0.067510486,0.0011376484,-0.0076860273,-6.646209e-06,0.015486088,0.004762159,0.0,0.028546175,-0.021701522,0.02255948,0.00061564543,0.062473428,-0.006051211,0.004491517,0.007886817,0.13768227,0.34879854,-0.0112131005,0.015204517,0.02454877,-0.00022695788,0.0014655924,0.012075469,-0.005667263,0.0029458664,0.00010517466,-0.00024546531,0.0046869223,-0.0068982993,0.0,-0.025552273,-0.0019001737,-0.00716052,0.0007290185,0.001030014,0.00091274607,0.002077568,-0.0051356526
24,0.7242664,0,-0.041687552,0.0051921057,-0.0024098805,0.005026219,0.0045452127,0.108429134,-0.0977205,0.0063346853,7.502927e-05,0.0067518773,0.0020536433,0.0,-0.003534948,-0.02617509,0.0684864,0.003098669,-0.118941255,-0.010015138,0.0049827825,-0.052012935,-0.06929324,1.1862973,0.050707582,-0.05125645,0.019596929,-0.007002351,-0.010405938,0.020059742,0.011023898,0.0013977533,6.356338e-05,-0.0004945137,0.0023850654,-0.0024887023,0.0,-0.028938288,-0.006806844,-0.006836612,-0.01392833,0.0015379788,0.00019848702,0.0017679445,-0.0016152814
25,0.11226832,0,-0.010483933,-0.0014095827,-0.0037005786,-0.0007043962,0.003422216,-0.087333985,-0.027735073,-0.007816931,-0.0007630375,-0.008575108,-0.00793705,0.0,-0.012158004,-0.017819252,0.015990363,-0.01833623,0.0032567845,-0.003139225,-0.00046533468,0.002706082,-0.10563079,-1.7036811,-0.013593207,0.011147624,-0.020131657,-0.00022695788,0.0035376323,-0.012671086,-0.00034158851,0.0015506828,0.00010517466,0.0004113672,0.005962964,-0.0033356484,0.0,-0.011219306,-0.0019001737,-0.039992683,0.0024171425,0.00061669474,-0.0012047028,-0.002017106,-0.0018551124
26,0.7592475,1,0.13447315,-0.0032773134,-0.010066314,-0.009055693,-0.010847131,0.22632764,0.011243418,0.0048352294,0.00052634196,-0.012701534,0.004015031,0.0,-0.002842714,-0.018116888,0.017542385,0.012225825,0.06929239,0.010644449,0.0011766844,0.0054934802,-0.13885425,0.8330315,-0.0055074287,0.020405045,-0.001919021,0.00070459535,0.0024329633,0.007873145,-0.004201066,0.004101047,6.356338e-05,0.0004113672,0.001726351,-0.0017858584,0.0,-0.029515637,-0.0058409534,-0.00734326,-0.008987145,0.0024951855,0.00019848702,-0.0017158454,0.042621102
27,0.82736194,1,0.08272091,0.006567771,-0.014247952,0.0031900813,0.004027862,0.25920364,0.036167126,0.0044747926,0.00021080833,-0.006136531,-0.011328162,0.0,0.015043319,-0.025110282,0.071849406,0.0073293066,-0.11215814,-0.012566756,0.0011214635,0.009244539,-0.070878446,1.399876,-0.0074052988,-0.045629393,-0.006805537,-0.007002351,-0.0034233804,-0.0017544252,0.011870909,0.0014872064,6.356338e-05,-0.0061010746,0.0021751362,-0.0016820511,0.0,-0.026881319,-0.0080810515,-0.00716052,0.004365136,0.0013605983,0.00019848702,-0.0038616084,0.0154360365
28,0.69008124,0,-0.071327455,0.0007614974,0.006138495,0.007138019,0.0047322237,0.32420504,0.0047208173,0.009583639,-0.0046986993,0.011614623,0.0060765995,0.0,-0.0059088888,0.049545567,0.015363057,0.031150412,-0.043828215,0.013787435,-0.00035744836,0.011162026,-0.006419528,0.33061433,-0.009597352,0.009888651,0.014567952,-0.000709526,-0.002002277,0.0258356,-0.0023415438,0.002019012,6.356338e-05,-0.0013458316,-0.009526998,-0.005230497,0.0,0.03711633,0.009329888,-0.007392245,0.0012723804,0.0019427753,-0.0012047028,-0.004849692,0.04133409
29,0.11511216,0,0.036868803,0.0053132293,0.0044966964,7.3690084e-05,-0.0042556417,-0.0822126,-0.021737896,0.0044079144,-0.0007630375,-0.012462287,0.0016985033,0.0,-0.012536926,-0.017819252,0.015927516,-0.011208212,0.002332781,-0.0041479794,-0.00046533468,-0.0015700117,-0.11356271,-1.7974187,-0.0116273025,0.010654167,-0.0067883283,-0.00022695788,-0.003518484,-0.008052968,-0.00034158851,0.0015506828,0.00010517466,-0.00024546531,0.004844561,-0.0032332523,0.0,0.012714008,-0.0019001737,-0.023005864,0.002258469,-0.010071258,0.00019848702,0.0007523382,-0.0018551124
30,0.28968233,0,-0.01795184,-0.013558293,-0.0053968434,0.0060323146,0.0050071822,-0.07376597,-0.040330138,0.003895284,-6.646209e-06,0.0079171015,0.0026236821,0.0,0.17530373,-0.03261343,0.017555034,-0.022399839,-0.0011449514,-0.003109302,0.005470979,0.016049935,-0.11883685,-0.9567533,-0.010969004,-0.05651105,-0.012505865,-0.0008893729,0.0032967352,-0.020909771,-0.00027099822,0.0015068345,0.00010517466,0.00019890038,0.005962964,-0.004776693,0.0,0.014789853,-0.0029923264,0.23114577,0.0024171425,0.0006904054,-0.00074231264,-0.0051509524,-0.002586606
31,0.61054665,0,-0.06520038,0.0072402083,-0.00086980313,-0.003106275,0.0054205405,-0.07093596,0.00666513,0.002453851,-0.0007630375,-0.016658217,0.0026199536,0.0,-0.004414824,-0.036305927,0.0024265493,-0.004959614,-0.15477681,-0.00242831,-0.00031280308,0.0047358377,0.03450018,0.76397204,-0.006443037,-0.04668838,0.006742334,-0.0008893729,0.0014597266,-0.0063208714,-0.006788826,0.0015633658,0.00010517466,0.0004113672,0.0060421843,-0.0034798284,0.0,0.02554832,0.010854929,-0.007392245,0.0031214843,0.0016114395,0.00091274607,-0.002017106,-0.0053207935
32,0.13059032,0,-0.015233868,-0.011864974,0.0047229594,-0.0038685454,0.0025360025,-0.07245265,-0.013856352,0.0045997836,-5.152737e-05,0.0082470765,0.0016985033,0.0,-0.010553067,-0.03097136,0.01652114,0.04836127,0.0015228596,-0.0029180907,0.0033099758,0.0033098776,-0.10458326,-1.724603,-0.010431421,-0.04917073,0.053681713,-0.0008893729,-0.003518484,-0.008711983,-0.0066761523,0.0015068345,0.00010517466,-0.00024546531,0.0043582367,0.010742812,0.0,0.012561757,0.011605829,-0.023005864,0.0024171425,0.00061669474,-0.00074231264,0.0007523382,-0.0018551124
33,0.7468288,1,-0.0071769673,-0.007609884,-0.013746356,0.0052543334,0.008836527,-0.062318552,-0.052349623,0.0030636317,-0.0037071062,-0.010093216,0.0023262086,0.0,0.012088841,-0.017785847,0.02119369,0.0068869707,0.064534746,-0.0024136447,0.003299605,-0.0732888,-0.115171425,1.2201251,0.065442964,0.017208919,-0.010988167,-0.00022695788,-0.009655319,-0.0037293083,0.009746318,-0.038315605,0.00010517466,0.00019890038,0.0044274433,-0.0035540909,0.0,0.027752437,-0.0017551093,0.04785362,-0.01392833,0.0015616044,0.00012230354,0.0018392205,-0.0015598251
34,0.7632407,1,-0.0038146924,0.0074247667,-0.0016280178,1.0698743e-05,0.0035481039,-0.08010993,0.025822824,0.0033155144,-6.646209e-06,-0.0073939087,-0.011177614,0.0,-0.0040577217,-0.030899458,-0.093273304,-0.0023361056,0.03223623,-0.0033503447,0.006298169,0.009357288,-0.13672091,1.5413169,-0.008941087,-0.038790867,-0.016358683,-0.0008893729,-0.001660681,-0.0053322357,0.01047523,0.0022177948,0.00010517466,-0.0004945137,0.0060421843,-0.0017402016,0.0,-0.024061512,-0.005505085,-0.007392245,0.0050978144,0.0017389823,0.00019848702,-0.004162869,-0.0018551124
35,0.106780365,0,-0.042936653,-0.008876999,-0.0042702886,0.01001134,-0.010528643,-0.084168814,-0.024190444,-0.011336327,-6.646209e-06,0.00515678,0.0015960138,0.0,-0.011720169,-0.031966735,-0.06941491,-0.014035689,-0.07793244,-0.0022230737,0.0077489335,0.0005577686,0.057442393,-1.7276506,-0.01219657,-0.03459461,-0.020572724,-0.0008893729,-0.0018853355,-0.009527646,0.00056512107,0.0013757081,0.00010517466,0.00019890038,0.005162822,-0.0018843813,0.0,0.01068379,0.0026907208,-0.022542462,-0.0066420743,0.0005438702,0.00091274607,-0.002017106,-0.0020751604
36,0.14007634,0,-0.012768548,-0.0036017266,0.0032621222,0.00312138,0.0032952349,-0.08509247,-0.012284529,-0.010593953,0.0016307365,-0.008575108,0.0016985033,0.0,0.06331667,0.025270708,0.047200304,0.061414823,0.012084821,-0.0026392569,-0.0022671395,-0.0006417071,-0.10296811,-1.657454,-0.013382647,0.006445544,-0.020237023,0.00022536918,-0.0034238258,-0.011074348,-0.010882708,-0.015803985,0.00010517466,-0.00024546531,-0.02256095,-0.0033356484,0.0,-0.011219306,-0.0023573455,-0.038886182,0.0029827242,0.00061669474,-0.0012047028,0.0007523382,-0.0018551124
37,0.13409926,0,-0.027189536,-0.0042083664,-0.0039411364,-0.0026942538,0.0024090214,-0.08430706,-0.028016405,0.006475036,0.0033605136,0.0082470765,-0.00793705,0.0,-0.011467285,0.025663644,0.048067957,-0.010914052,0.01967336,0.008265035,-0.017178101,0.005127098,-0.10407746,-1.7163239,-0.011781093,0.0019991423,0.060218953,-0.00022695788,0.0033567564,-0.016161691,0.00090392027,-0.015574863,0.00010517466,0.00019890038,0.0043582367,-0.0034792733,0.0,0.012207782,0.0026882351,-0.022542462,0.0037518064,0.0007678848,-0.00074231264,0.0007523382,-0.00230183
38,0.17089538,0,0.035725754,-0.008006091,0.007136889,0.0014481392,-0.013133702,-0.07920927,-0.03524675,-0.008892569,5.5174052e-05,-0.008577013,-0.013172138,0.0,-0.04502149,-0.025893832,0.01136275,-0.018875713,-0.07869967,0.006670121,-0.0056492,-0.010961064,0.035960086,-1.2891055,-0.009554152,0.01816892,-0.013408015,0.00022536918,-0.0016894279,0.041703213,-0.012017448,0.001426099,0.00010517466,-0.00024546531,-0.01887281,-0.0039995867,0.0,-0.012780162,-0.0021432478,-0.033821113,0.0014671241,0.00065820466,0.00091274607,0.002077568,-0.0026979493
39,0.12764107,0,0.04325355,0.0053606797,-0.010185352,7.3690084e-05,0.0013882953,-0.0842004,-0.030843945,-0.006809566,-0.0007630375,0.010259405,0.0016985033,0.0,-0.012536926,-0.010381492,0.024488136,0.046992425,0.04435533,-0.004784492,-0.001738997,-0.0012812018,-0.11794819,-1.7823296,-0.013275488,0.007897988,-0.007075739,-0.00022695788,0.0035376323,-0.007896597,-0.00046846623,0.0029458664,0.00010517466,-0.0004945137,-0.01887281,-0.0032332523,0.0,0.012923079,0.0035850885,-0.022542462,0.0016480602,0.0006904054,-0.0012047028,0.0007523382,-0.0021166892
40,0.5901172,1,-0.066673,0.005530052,0.005599409,-0.0022905152,0.008822218,-0.052524626,0.06345065,0.004796652,-0.00396082,0.014197595,0.0038692371,0.0,-0.004689565,-0.034872983,0.0123367235,-0.0010534048,-0.13185301,-0.002441279,0.006485937,0.002334586,-0.12148094,0.59252757,0.06684508,-0.022515973,-0.008606371,-0.0008893729,0.01119067,-0.0062405304,0.0067314953,0.0012433317,0.00010517466,0.00019890038,0.0044274433,-0.0033356484,0.0,0.035205044,-0.0042403303,-0.006787627,-0.008987145,0.0014340617,0.00019848702,-0.002017106,-0.004895822
41,0.54654574,0,0.107293814,-0.009270465,-0.0070002433,0.0010112519,-0.01841589,-0.07681076,-0.0028811472,-0.00848751,0.0016307365,-0.015531718,-0.02347875,0.0,-0.00739601,0.049573973,0.05856278,-0.0011478036,-0.037206016,-0.008734759,-0.0022351432,0.00995239,-0.15772864,0.34656134,-0.010335425,-0.01702052,-0.017629903,0.00088123995,0.0013100246,-0.0029719828,0.003757101,0.0012735508,0.00010517466,0.0004113672,0.0041236393,-0.0067541194,0.0,0.031911805,0.013715016,-0.00734326,-0.005155325,0.0010309,0.00019848702,-0.0051509524,-0.00517056
42,0.14179605,0,-0.018334001,0.011467467,-0.0009116781,-0.00050636183,0.003522044,-0.071294084,-0.011139644,-0.006012266,-6.646209e-06,0.0079171015,0.0015960138,0.0,0.061415806,-0.024589099,0.052249506,0.042802483,-0.04459292,-0.0028576348,0.004917125,0.0060828226,-0.093188845,-1.6978549,-0.011960048,-0.016152639,-0.019639343,-0.0008893729,-0.003607956,0.019418951,-0.00050470466,0.0013757081,0.00010517466,-0.0004945137,0.005962964,-0.0033356484,0.0,0.012499949,0.008079853,-0.021435961,0.0024171425,0.0006544359,0.00019848702,0.0007523382,-0.0018551124
