student_index,risk_probability,actual_at_risk,shap_age,shap_Medu,shap_Fedu,shap_traveltime,shap_studytime,shap_failures,shap_schoolsup,shap_famsup,shap_paid,shap_activities,shap_nursery,shap_higher,shap_internet,shap_romantic,shap_famrel,shap_freetime,shap_goout,shap_Dalc,shap_Walc,shap_health,shap_absences,shap_support_index,shap_risk_behavior,shap_engagement,shap_school_MS,shap_sex_M,shap_address_U,shap_famsize_LE3,shap_Pstatus_T,shap_Mjob_health,shap_Mjob_other,shap_Mjob_services,shap_Mjob_teacher,shap_Fjob_health,shap_Fjob_other,shap_Fjob_services,shap_Fjob_teacher,shap_reason_home,shap_reason_other,shap_reason_reputation,shap_guardian_mother,shap_guardian_other
10,0.33939868,0,-0.14856683,-0.15216559,0.07467054,-0.018056417,-0.03297894,-0.2768466,-0.044111174,0.051357638,0.009547391,0.008254859,0.006857062,-0.0015692232,-0.0010758465,0.14032623,0.18760762,0.004589343,-0.18413502,-0.030889953,0.07229989,0.03323748,-0.29983696,-0.070734814,-0.13991395,-0.09513616,0.002870314,0.08577695,-0.03864322,0.021550486,0.013473561,-0.021942388,-0.006359435,0.07994544,-0.03169515,-0.0011071065,0.002897395,0.08717869,0.0006119943,-0.06599197,0.0070570707,0.010702963,0.008756017,-0.0017913799
11,0.4609863,0,-0.024416825,-0.20138839,-0.30698952,-0.011252524,0.008107033,-0.2969291,-0.03429223,0.057361256,-0.0031181776,0.017010422,0.0073152576,-0.0020380886,-0.0056494414,0.06409544,0.18209757,0.041091464,0.1840902,-0.042852502,0.080421194,-0.25569993,0.3961918,-0.059654295,0.019527812,-0.05201879,-0.044468466,0.07553863,-0.02117097,-0.10903851,0.028586825,0.004862306,-0.007823768,0.0699427,-0.032216046,-0.0012523744,0.0115113715,-0.02407088,0.00036001997,0.021841278,0.0070509305,0.015752126,0.0010093417,-0.0018011639
12,0.41108078,0,-0.13640061,-0.20826715,0.09763599,-0.01390469,0.01618107,-0.2813724,-0.032355357,-0.120735906,0.003101643,-0.03647045,0.0039203833,-0.0027224422,-0.0016459018,0.1388233,-0.03716867,0.0029936437,-0.053224556,-0.034412116,0.07830274,0.023857778,0.36876413,-0.15187483,-0.15384577,-0.051486783,0.0028915608,0.093094654,-0.044807468,0.02767089,0.022085335,-0.022844307,-0.008080809,0.07207475,-0.030169941,-0.001124741,0.0089085,0.08708131,0.0005446372,-0.054453567,0.007531647,0.022110187,-0.045585286,-0.0021242655
13,0.2870986,1,-0.16515943,-0.21581993,-0.2830383,-0.017294647,-0.036023673,-0.31011456,-0.038660727,0.055061445,-0.003977582,0.0006309467,0.0052502407,-0.0020380886,-0.0052817105,0.14932513,-0.0460093,0.0415106,-0.038499605,-0.03349126,0.060799725,0.024923597,0.34550703,-0.072388686,-0.15560453,-0.063209854,0.0020209989,0.091497995,-0.043169685,0.028321039,0.021311622,0.0016809592,-0.0075149746,-0.29293627,-0.03398636,-0.0018084518,0.005853701,-0.020219538,0.0006119943,0.018104997,0.007862304,0.018428687,0.011775364,-0.0017529675
14,0.30242035,0,0.28291503,0.03188367,0.07220537,-0.0153849665,-0.021672754,-0.25366622,-0.013778358,-0.08640527,-0.0021212727,0.035761327,-0.002134225,-0.004562506,0.014843767,-0.07970348,-0.14246286,-0.1724522,-0.07443316,-0.03144193,0.046797223,0.030989258,0.38655603,-0.08240419,-0.2163053,-0.007315664,-0.0053596743,-0.1161878,-0.038162917,0.019536331,-0.23689596,0.0011358091,-0.013818247,-0.2468802,-0.008403148,-0.0018084518,-0.012563082,-0.042123962,0.00028176984,0.02374791,0.007219151,0.021625433,-0.025428485,0.05457535
15,0.6094281,0,-0.15313293,0.04315019,0.060647007,-0.010421175,-0.010907316,0.5527252,-0.019191116,-0.073293656,0.00074295164,0.026457656,0.012600794,-0.0019506415,-0.006538257,0.06262254,-0.0076512536,0.04072124,0.16060792,0.054555986,-0.06159974,0.0236086,-0.3543535,-0.118508235,0.21801274,-0.026448455,0.00013466665,-0.044919968,-0.03303757,-0.03562365,0.022392396,0.0029404932,-0.013402681,0.060563806,-0.017585305,-0.001177727,-0.017161272,-0.044506293,0.0005446372,0.033433214,0.005082857,0.009348447,0.010886514,0.0065355585
16,0.17512377,0,-0.14624128,0.070323505,0.03559415,-0.014681444,-0.01636049,-0.2548,0.18636708,-0.12546723,0.010744515,-0.032878943,-0.0193501,-0.0022805035,-0.0010752532,-0.08311737,-0.18581307,0.033270847,-0.23737073,-0.021609753,-0.024906358,0.018209819,-0.34261808,-0.0644779,-0.19107085,-0.08059963,0.0027811292,-0.12829275,-0.049282093,0.020259429,0.015014163,0.0008640629,0.013326283,0.073473625,-0.011253264,-0.0013499118,-0.0038405685,-0.033700563,0.0003491269,-0.07304842,0.0061163013,0.011243327,0.011093901,-0.0012890147
17,0.31362072,0,-0.18674155,-0.1131956,0.04462113,-0.011052499,0.013859531,-0.29649377,-0.03756331,0.057206504,0.008826541,0.010578098,0.0093626585,-0.0015961503,-0.00224558,-0.051954176,-0.008617454,0.044737734,-0.025701733,0.036868684,-0.05935115,0.019339547,-0.34587556,-0.051871248,0.06852813,0.014986134,0.0035067338,-0.09999202,-0.040603366,0.014137466,0.016961988,0.0017455331,-0.0077869915,0.08334447,0.10183954,-0.0015981265,-0.0138989845,-0.020075008,0.0015003021,-0.072584644,0.008760385,0.00913206,0.0096887015,-0.0019832125
18,0.31330466,0,-0.09158364,-0.098272204,0.025717407,0.018832745,-0.13049144,-0.27371296,0.14506258,0.05040602,-0.004975964,0.008539362,-0.050114233,-0.001806235,-0.0034706523,-0.07186402,0.16574232,0.03966191,-0.07682908,-0.024428686,0.037761107,0.028237425,-0.2301751,0.39357495,-0.2054423,-0.058569685,0.0016954793,-0.10188275,0.08157575,0.019538643,0.01567232,0.0017555731,-0.011195362,-0.3080781,-0.03606615,-0.0020390318,-0.028200326,-0.027089197,0.0006119943,0.024646997,0.004907254,-0.10419417,0.005540639,-0.0017182934
19,0.33500192,0,-0.12000334,0.039123375,0.10369055,0.040997703,-0.016382372,-0.25217402,-0.03236293,0.06792141,-0.0021766033,-0.01427353,0.007258789,-0.0045874105,-0.0019408163,-0.09972259,-0.063386105,0.050177936,-0.28586003,-0.025153678,0.048117705,0.023080766,0.31899446,-0.029455706,-0.22916953,-0.061566174,0.002870314,-0.14327776,-0.03813223,0.024207007,0.020325294,0.0009386768,0.010331509,0.06261364,-0.025884612,-0.0007735797,-0.0041636745,-0.032659043,0.0006119943,0.01848145,0.007968008,-0.10572017,-0.030793585,-0.0017431832
20,0.41146284,1,-0.13787933,-0.1885296,0.044931263,-0.008915957,-0.027656337,-0.3046713,-0.023812793,-0.092317134,-0.004987263,0.03067189,-0.02761253,-0.004880912,-0.0055232244,-0.048804693,-0.20790595,0.0018964387,0.27530345,-0.036927473,0.074388355,0.021878162,0.3382128,-0.11346014,0.06404709,0.019324917,0.0028415886,-0.11219501,-0.032911472,-0.089307375,0.027212111,0.004862306,-0.011498316,0.07762221,0.03374473,-0.0010217944,-0.011616288,-0.029502295,0.0005024924,0.026527325,0.00455142,0.020498293,0.008977791,-0.0019832125
21,0.41889054,0,-0.12176113,0.09048335,0.11472735,-0.0055342666,-0.01591861,-0.28939685,-0.028431404,-0.08254775,-0.0026049153,-0.045925044,0.008493421,-0.0014833293,-0.0025700643,-0.028818075,0.15843362,0.017181303,0.16712005,0.059335385,-0.06483025,-0.1677645,-0.3016261,-0.13822556,0.19560955,0.0037877017,0.0027200484,0.04793655,-0.021815281,-0.056507524,0.025954494,0.004781226,-0.0123445885,0.07308406,-0.023022404,-0.0012523744,0.01331943,-0.03042076,0.00029266288,0.030126663,0.00656983,0.008777894,0.0009046567,-0.0021724622
22,0.50545096,0,-0.1096722,0.018182628,0.039829563,0.015706455,-0.022850553,-0.2751812,-0.026980624,0.048658356,0.016974978,0.015627913,0.014703924,-0.0018630703,-0.0047031883,-0.0316093,0.1455922,0.04187649,0.1061317,0.054397833,-0.054241534,0.021452837,-0.28943697,-0.028048033,0.19383876,0.0384179,0.0034529164,-0.06917427,0.045955617,-0.03858668,0.022884713,0.004480966,-0.010428598,0.076866336,0.09613283,-0.001984639,-0.016313953,-0.026395218,0.0015003021,-0.0719092,0.004546898,0.008400264,-0.020401474,-0.0020314092
23,0.7223966,1,0.1463227,0.093278416,0.10117724,0.012262376,-0.029480793,-0.2610575,-0.026991554,-0.08771401,-0.0072447713,0.03801009,0.007390962,-0.0016508956,0.005688118,-0.055689573,-0.016378794,0.0029052787,0.260986,-0.02016729,0.075821154,0.016844273,0.5126679,-0.11723728,0.007866275,-0.049539868,0.0034289581,0.07723906,0.0549207,0.034361355,0.03283234,0.003851192,-0.00738039,0.05745484,-0.018804459,-0.0010217944,-0.010594463,-0.034107774,0.0005446372,0.026766708,0.009573282,0.025006063,0.008562717,-0.0023252484
24,0.60702294,0,-0.06093268,0.04119037,0.06772834,0.026315916,0.0039033336,0.280299,0.11284469,0.039181177,0.010400257,0.011002213,0.015236121,-0.0009830149,0.0018365859,-0.07896816,0.16405107,-0.0012496236,-0.21576688,-0.024572132,0.038118087,-0.22245775,-0.22409686,0.5312233,-0.24380857,0.0077361115,-0.0029342782,0.04873503,0.07354517,0.018617416,0.016618952,0.0006008219,-0.0124042425,0.040866856,-0.020112997,-0.0015804918,-0.022081768,-0.056201633,0.00036001997,-0.0796074,0.007253685,0.041381147,0.006689949,0.008834144
25,0.25324705,0,0.012140642,0.067290574,0.08696886,-0.013137547,0.015501946,-0.27587378,-0.03460902,-0.1085477,-0.0033972685,-0.04529282,-0.025077041,-0.0022805035,-0.0002201357,-0.0429364,-0.012458489,0.03503145,-0.08060801,-0.027810454,-0.009904155,0.026564408,-0.31739584,-0.13804299,-0.035881504,-0.12400361,0.0031335326,-0.1108198,-0.031333733,0.026093034,0.02003865,0.0012294878,0.0056915972,0.078781955,-0.023334181,-0.0010217944,-0.013220087,-0.032610755,0.0005446372,0.026026199,0.006969769,-0.039435282,-0.030002192,-0.0021242655
26,0.70104665,1,0.19212116,0.0323727,0.062231623,0.0048245876,-0.010540199,0.5305846,-0.0146574695,0.035035245,-0.014977399,-0.027186371,0.017414317,-0.001763633,-0.001341487,-0.031108221,-0.013802456,0.030875219,0.15953007,0.055445515,-0.06002237,0.035784528,-0.33531305,-0.030364389,0.22549115,0.010282595,-0.019851793,-0.043181032,0.060870416,0.022829894,0.025414275,0.0030091233,0.027829906,0.056250058,-0.018693823,-0.0015981265,-0.02702998,-0.038632438,0.0006119943,-0.112941995,0.008981927,0.009184818,-0.022270879,-0.017415952
27,0.6080741,1,0.18206707,-0.027014304,0.0009636278,-0.008652949,0.013112229,0.9601764,-0.01494207,0.053834654,-0.000352181,-0.017672598,-0.037211176,0.008045302,-0.0054869717,-0.071782395,0.24346857,0.02285746,-0.2613629,-0.032391887,0.041641805,0.036551982,-0.24499142,-0.11864454,-0.28638238,-0.11503513,-0.010453449,0.041975703,-0.027651444,0.02711823,0.015054214,0.0008725682,-0.02944696,0.041425873,-0.0152057735,-0.00064542866,-0.018800182,-0.045926794,0.0005446372,0.03206206,0.007404196,0.013526533,-0.017922817,0.016492076
28,0.7300625,0,-0.12811826,0.042942286,0.070446864,0.02983623,-0.036185626,1.3085531,-0.02042715,0.04267666,-0.0013072747,0.003891138,0.0223177,-0.0012899501,0.00030362754,0.12411259,-0.039075315,0.040952507,-0.2231944,0.022802806,-0.066163026,0.0119032655,-0.19172007,-0.032993738,-0.029707039,-0.09987605,-0.0017496669,0.040923562,0.1391913,0.028620068,0.01670788,0.0007069287,-0.01368937,-0.15335494,-0.016725786,-0.0007694422,0.008910545,0.06658295,0.0006119943,0.00951076,0.008790489,-0.05084476,-0.03433207,0.0071634506
29,0.34718415,0,0.11448156,0.07142523,0.06600864,-0.004764882,-0.04613241,-0.27440196,-0.036036048,0.06790717,0.0016765723,-0.023013491,0.005245156,-0.0009148903,-0.0008836882,-0.05408495,-0.008896632,0.046858203,-0.05740967,-0.025413712,-0.007298073,-0.017546946,-0.38348988,-0.05641681,-0.010271555,-0.12071636,0.004459483,0.07277252,-0.024732016,0.02459398,0.022445438,0.001464032,-0.008106806,0.079838246,-0.024042418,-0.0010217944,0.0066519566,-0.02292054,0.0006119943,0.023343898,-0.13860117,0.010250152,0.009763051,-0.0021242655
30,0.15858553,0,-0.15722184,-0.14433742,-0.21184927,0.013909377,0.014034887,-0.2868791,-0.0466593,0.045014516,-0.004544301,0.0030716164,0.0055979406,-0.001462334,0.009159957,-0.07825243,-0.0321718,-0.008812634,-0.05629628,-0.03853562,0.03898907,-0.0130946385,-0.29136303,-0.06699114,-0.21634229,-0.12409883,0.003052027,-0.11422545,-0.043564487,0.015736768,0.018444272,0.0016809592,0.008473946,0.08654254,-0.03620128,-0.0010217944,0.012393355,-0.028856648,-0.007448652,0.029303148,0.007495491,-0.032910265,-0.024600618,-0.0019539504
31,0.44156992,0,-0.15624352,0.09454132,0.13369498,-0.020658111,0.015876796,-0.25377044,-0.029252922,0.04373081,-0.0036374053,-0.014677713,0.008154634,-0.0015592558,-0.0011622825,-0.07964717,-0.062156126,-0.0018518495,-0.3119154,-0.017196873,-0.020894598,0.012131417,0.38130707,-0.03769509,-0.16735613,-0.07196343,0.0025233428,0.1016048,-0.04767966,0.025089439,0.021585952,0.0011496259,0.015477432,0.075168215,-0.021023043,-0.00072569784,0.005583077,0.056600213,0.0006119943,0.017395716,0.007905699,0.021870539,-0.041990634,-0.0017431832
32,0.33050996,0,0.008229486,-0.132355,0.077117845,-0.008101299,-0.015238065,-0.24963789,-0.04327813,0.043546364,0.0011407493,0.01955618,0.0071241143,-0.0011898276,-0.002143386,-0.08764195,0.0010007306,0.006969585,-0.056882918,-0.032411605,0.058496147,0.026737174,-0.3086255,-0.054293055,-0.19595551,-0.12175248,0.003411694,0.0716263,-0.030087214,-0.06488887,0.016194312,0.002041136,-0.0117087355,0.089838944,0.1008913,-0.0009739125,0.009634732,0.081068374,0.0015003021,0.021422913,0.007716887,-0.040126644,0.010126177,-0.0019832125
33,0.4363681,1,-0.03178301,-0.084373,-0.21746081,0.001823687,0.03521609,-0.20846362,0.18690315,0.065754734,-0.023003116,-0.030722545,0.0089091845,-0.0009486358,0.003260532,-0.05665797,-0.0011969503,0.029239167,0.16140783,-0.027812203,0.051789783,-0.24671812,-0.29176524,0.5945082,-0.005405776,-0.021643767,0.004287498,0.059527528,-0.031289622,0.020705543,-0.2590042,0.004862306,0.008000437,0.068253376,-0.029967986,-0.0015981265,0.013640455,-0.029061597,-0.003812708,-0.09914154,0.006660438,0.028025778,0.006635094,-0.0014997819
34,0.29805392,1,0.0021617205,0.0548015,0.094565816,-0.0069810958,0.015538446,-0.24129103,-0.033440277,0.046035103,-0.0031433632,-0.021594303,-0.029170558,-0.0011898276,-0.00010487344,-0.07481833,-0.20359088,0.03668524,-0.058282524,-0.020098455,0.053622115,0.023349289,-0.37514925,-0.04693196,-0.20591655,-0.042033013,0.0032901536,0.07223171,-0.040362235,0.019547435,0.01861616,0.0009386768,-0.018078903,0.08593784,-0.011890462,-0.0010217944,-0.012095221,-0.037396964,0.0003491269,0.033777237,0.0068156533,0.0109040355,-0.037047487,-0.0021242655
35,0.28700718,0,-0.13070086,0.03607979,0.013388444,0.040049903,-0.026995625,-0.29627144,-0.021241814,-0.08339794,-0.010125873,0.02717362,0.005045163,-0.004880912,-0.003696364,-0.09596599,-0.1865024,0.0041041765,-0.2897262,-0.025922423,0.06951015,0.0283822,0.32908052,-0.110025354,-0.22354575,0.0135811465,0.0018459146,-0.12445682,-0.05409466,0.018592745,0.018607652,0.0012242398,0.013728222,0.071135454,-0.008732999,-0.0008765264,0.00648819,0.07696038,0.00028176984,-0.07893084,0.0071915505,0.021478457,-0.024064332,-0.0017431832
36,0.18995064,0,-0.014589919,0.027212758,0.04920761,0.012316372,0.013460523,-0.31153217,-0.033018604,-0.14381526,0.00082313735,-0.053010836,0.0024375492,-0.0022191973,0.008196376,0.08054896,0.14749216,0.013822366,-0.061478227,-0.033101693,-0.022944821,0.03683766,-0.27469358,-0.14215411,-0.050069265,-0.15140367,-0.023780715,0.05983388,-0.029982224,-0.08840438,-0.18625356,0.0012294878,-0.004864652,-0.28837585,-0.02377301,-0.0020390318,-0.010353954,-0.032786887,0.0005446372,0.023227667,0.00899806,-0.041189723,0.003685069,-0.002373445
37,0.2776025,0,-0.18679479,-0.11890288,-0.19629735,-0.012965381,-0.02598842,-0.31020883,-0.046680354,0.04420426,0.000943781,0.0103891,-0.01931574,-0.0019755461,-0.0022482132,0.0716921,0.19766532,0.033994224,0.0024562953,0.06397302,-0.05222856,0.022936894,-0.28654024,-0.06142254,0.101810776,-0.11454299,0.003129338,-0.08131804,-0.017741123,0.011518881,-0.1699569,0.0019571688,0.0062327734,0.0651775,-0.03623659,-0.0013604251,0.0051140627,0.040136766,0.0006119943,0.023400946,0.004513195,-0.022456218,0.010734287,-0.0018011639
38,0.34307674,0,0.15016612,0.03198523,0.063855544,0.015400023,-0.01986244,-0.31115806,-0.01577044,-0.1037344,0.0017577182,-0.045528337,-0.04477469,-0.004880912,-0.0050809365,-0.06824711,-0.050753277,-0.013545722,-0.25559586,0.053778965,-0.034859736,0.020262871,0.36285964,-0.085779406,0.025511466,-0.004172672,-0.018893398,-0.09207738,0.08023819,-0.11528763,0.020140823,0.001464032,-0.012755479,-0.25501153,-0.021143652,-0.0015602373,-0.015160047,-0.028343815,0.0005446372,0.020876339,0.008272088,0.024242708,0.0067465375,-0.0017431832
39,0.316432,0,0.19671851,0.07163606,0.11553947,-0.00709669,-0.048023306,-0.3155277,-0.036369227,-0.06823358,-0.0006910978,0.037287697,0.0064266752,-0.0022805035,4.7791284e-05,-0.035029065,-0.00017010006,0.022087645,0.23836896,-0.032891314,-0.07438454,-0.021726022,-0.40723735,-0.12054225,0.029903915,-0.12420926,0.0039269486,-0.07771201,-0.021265995,0.021098286,0.021444874,0.003892725,-0.006349389,-0.26685232,-0.021437995,-0.00176057,0.008614194,0.067446075,0.0005446372,0.01561551,0.009078924,-0.04140868,0.005422519,-0.0021242655
40,0.42200038,1,-0.12222931,0.029445099,0.055017218,-0.01673674,0.040999513,-0.19901443,0.18340938,0.046612427,-0.018251402,0.011885673,0.009755934,-0.0013893377,-0.00084648805,-0.08068721,-0.03641939,0.042444725,-0.26804018,-0.024349013,0.04693851,0.022248171,-0.23684737,0.6299682,-0.1936122,-0.07086639,0.0028363261,-0.11840705,-0.04429289,-0.04718729,0.016154328,0.0008640629,0.020016715,0.072811045,-0.023336394,-0.0013499118,0.012287231,-0.038536325,0.0006119943,-0.098449476,0.0071118297,0.034048826,-0.045900427,-0.0012890147
41,0.28805715,0,0.13128723,0.032517686,0.0853999,0.019039184,-0.017729498,-0.2719165,-0.023954475,-0.10839222,-0.014182463,-0.05484222,-0.029985784,-0.002926819,-0.0018599743,0.08320817,0.19281241,0.04076977,-0.18589327,-0.03562955,-0.04186121,0.016454177,-0.35102272,-0.111184984,-0.16343191,-0.010756087,-0.027714398,-0.09227004,-0.030348241,-0.061817493,0.013498957,0.001458784,0.009418662,0.066823035,-0.022146435,-0.0011071065,0.00810663,0.09629955,0.0005446372,-0.10431255,0.0075683245,0.006386143,-0.03735954,-0.0017913799
42,0.3856752,0,0.00041937784,0.076532,0.07506406,0.020572985,0.017101018,-0.22948653,-0.034971338,-0.08412465,-0.0038768565,0.037236642,0.008579088,-0.0018398017,-0.0013302587,-0.07733511,0.17338532,-0.0054034004,-0.20310634,-0.015994603,0.061555788,0.0151451975,-0.33287776,-0.15588614,-0.18951248,-0.13014631,0.0026186532,0.06700272,0.09899063,0.02219847,0.015031756,0.0012242398,-0.008344284,0.079491176,-0.022160316,-0.0009562778,0.008854273,0.111058086,0.0005446372,0.030727569,0.0077083376,0.010123139,0.004646809,-0.0019923628
43,0.56775016,1,0.19594239,-0.16107151,0.03823696,-0.010645689,-0.024709351,-0.3132039,-0.028123736,0.03609703,-9.6731936e-05,-0.024099292,0.008899283,-0.004867369,-0.0036568837,0.067414336,-0.21996123,-0.019312756,0.21027282,0.044940304,-0.09341934,0.020055145,0.36443838,-0.054248065,0.16082734,-0.07925368,0.0038148551,-0.10471609,-0.023900863,0.032114375,0.026924402,0.0051633045,-0.014479644,0.07067355,0.04262987,-0.0010217944,-0.010303331,-0.010130776,0.0012374347,0.017443093,0.0091807535,0.018313525,0.013259537,-0.0019832125
44,0.890225,1,-0.12155209,0.025972266,0.06533773,-0.00018960412,0.013209235,1.1338311,-0.013857633,-0.07864331,-0.008334675,0.026894828,-0.03885884,-0.0024431688,0.0026016138,0.08070391,-0.032286804,0.070057295,0.26512316,-0.025709786,0.078776054,0.003718992,0.439882,-0.11118951,0.06851216,-0.019433886,0.00035415913,0.05087912,-0.029517952,0.034375068,0.030310245,0.0025464694,-0.009552369,0.03939278,-0.01208811,-0.00092393445,0.015113018,0.081940316,0.0005446372,-0.06055184,0.0054941145,0.0228116,0.009614185,0.0021746107
